new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,n_patiens_ICU_that_day,date
0.00923922275315544,0.009719222462203024,0.536911849888051,0.8980624195229627,0.014802022627083576,0.023511967803431476,0.5938967537150213,0.8970062626133483,0.786818232718411,0.05266668762972737,0.0744133517379847,2021-11-27
0.007119592912903154,0.010799136069114472,0.5370077266311379,0.8981390643203139,0.015187638760955148,0.02414742639271341,0.5946652904950025,0.8973673476692443,0.7882020286466073,0.05334712927906131,0.07529175555276697,2021-11-28
0.020221416385403358,0.01511879049676026,0.5372800404512333,0.8982463670366055,0.017685816372415505,0.025630163101037915,0.5977424834826668,0.8989417565541478,0.7932949638688084,0.056408727999810636,0.07704856318233154,2021-11-29
0.01163211497699426,0.0064794816414686825,0.5374366855449697,0.8982923539150163,0.016754444514194132,0.021817411565346324,0.6009330685493298,0.900687687464469,0.7982197850639097,0.059745125103230344,0.07742502196009537,2021-11-30
0.022067783842069113,0.021598272138228944,0.5377338636656583,0.8984456435097186,0.01769990865637759,0.02033467485702182,0.6042032151133109,0.9026864333135324,0.802070475967574,0.06416562340590601,0.07930731584891455,2021-12-01
0.022392744514442287,0.023758099352051837,0.5380354179032512,0.8986142620638911,0.018878536042297347,0.02097013344630375,0.6076120044288461,0.9046027782569711,0.8069032313080526,0.06820018157441861,0.07742502196009537,2021-12-02
0.018360277989084274,0.023758099352051837,0.5382826685083488,0.8987828806180637,0.019260308825997444,0.021817411565346324,0.6103267820550617,0.9062990181213104,0.8108060154964054,0.07117192328817241,0.08244447233027984,2021-12-03
0.012939343136313616,0.01511879049676026,0.5384569175269052,0.8988901833343552,0.01990214830463418,0.022876509214149545,0.6117334924757758,0.907067025392823,0.8126269594725707,0.07302147107983595,0.08244447233027984,2021-12-04
0.008803480033382324,0.020518358531317497,0.538575470512133,0.8990358084493224,0.02019424291766647,0.02478288498199534,0.6125620714598152,0.907528070623622,0.8139292056272668,0.07388248456661674,0.08231898607102522,2021-12-05
0.026004239259680505,0.03023758099352052,0.5389256593216859,0.8992504138819056,0.02119735731242209,0.027748358398644354,0.6152517957513852,0.9091420541030714,0.8183257298532803,0.07640936439758692,0.0842012799598444,2021-12-06
0.023766441902201608,0.03023758099352052,0.5392457125989201,0.8994650193144889,0.02330223208966792,0.03240838805337852,0.6181368588340087,0.9107415855090408,0.8231889159244186,0.07912874517343622,0.08620906010791819,2021-12-07
0.012636538873420432,0.011879049676025918,0.5394158838721792,0.8995493285915752,0.021666246033342343,0.030502012285532728,0.6192979693560138,0.9113817882774126,0.8247579897287401,0.0805827291240419,0.08683649140419125,2021-12-08
0.027503489634493096,0.023758099352051837,0.5397862624938138,0.8997179471457477,0.02255277880622981,0.030502012285532728,0.6218905948160138,0.9127304557745596,0.8283774987727418,0.08384932084374551,0.08871878529301043,2021-12-09
0.029866839979025266,0.02699784017278618,0.5401884674202074,0.8999095591391256,0.024548758661950446,0.03113747087481466,0.6245995295241151,0.9140413310995567,0.8322331181939894,0.08731551735882163,0.08859329903375582,2021-12-10
0.016033854993685422,0.01511879049676026,0.5404043890065579,0.9000168618554172,0.025085546569233466,0.03113747087481466,0.6259327787628991,0.9147382582563371,0.8339629992115518,0.0891341566990932,0.08545614255239052,2021-12-11
0.013205220050073485,0.00755939524838013,0.5405822184843996,0.900070513213563,0.02584909213663366,0.028595636517686932,0.6267700577747914,0.9150615511400831,0.8349826006136807,0.09043842364967798,0.08696197766344586,2021-12-12
0.03769543799528807,0.03995680345572354,0.5410898480453079,0.9003540989637623,0.02787709991044994,0.030502012285532728,0.6295692960264356,0.9163746906232587,0.838555661244877,0.09445030311057777,0.0883423265152466,2021-12-13
0.03869986189171424,0.021598272138228944,0.5416110037857389,0.9005073885584646,0.030467517926025756,0.028807456047447576,0.6324770872883319,0.917844201541487,0.8423056900423199,0.09845459619529026,0.092734345589158,2021-12-14
0.04465255057200464,0.03131749460043197,0.5422123220312821,0.900729658470783,0.036021158923810706,0.03262020758313917,0.6357648655655652,0.919180367995074,0.8457939916327525,0.10401028980680824,0.09311080436692183,2021-12-15
0.04949003330846892,0.032397408207343416,0.5428787847443791,0.9009595928628364,0.03983504341064018,0.034314763821224316,0.638912396648238,0.9205337083293128,0.8491542377285356,0.10923226328703527,0.0948676119964864,2021-12-16
0.04896566495077584,0.02591792656587473,0.5435381859961076,0.9011435403764793,0.043148011258453765,0.034102944291463676,0.6417581809068863,0.9217579193870086,0.8520290248423648,0.11410890921233498,0.09775379595934246,2021-12-17
0.032289274082170735,0.009719222462203024,0.5439730128848794,0.9012125206940953,0.045967749167594406,0.033043846642660454,0.6431517726465479,0.9223479012000375,0.853697901127748,0.11625124287225778,0.09900865855188858,2021-12-18
0.02738532211726649,0.01511879049676026,0.5443418001912761,0.9013198234103869,0.048427493277339986,0.03452658335098496,0.6439457831767218,0.922648311634107,0.8545631998136791,0.11759086823341151,0.10001254862592547,2021-12-19
0.06633628998308727,0.03455723542116631,0.5452351247829844,0.9015650867619106,0.05339566393233654,0.03346748570218174,0.646920523469522,0.9238724263446462,0.857571400752321,0.1227472182192695,0.09976157610741625,2021-12-20
0.08638784056247738,0.04967602591792657,0.5463984756791336,0.9019176528297259,0.061667834618079884,0.03897479347595848,0.6499479186646236,0.9253115156481994,0.8610670664649566,0.12737520257031787,0.10076546618145314,2021-12-21
0.11960029837298099,0.04643628509719223,0.5480090856143511,0.9022472254583359,0.07466860713146435,0.0419402668926075,0.6527582421588576,0.9267285655396956,0.8644611531378668,0.13144600377983823,0.10340067762579999,2021-12-22
0.13318217738421428,0.03995680345572354,0.5498025973447314,0.9025308112085352,0.08918622184585859,0.04342300360093201,0.6548124783212509,0.927712968524781,0.8669446675330924,0.13448216267372634,0.10440456769983687,2021-12-23
0.10172746139245648,0.032397408207343416,0.5511725208502078,0.9027607456005886,0.09833851972087028,0.04469392077949587,0.6549231162494205,0.9277690907434614,0.8670746715114377,0.13464863403811841,0.10415359518132765,2021-12-24
0.046868191520003544,0.0183585313174946,0.5518036762564628,0.9028910417560856,0.10086744413370245,0.046388477017581024,0.6549295683410826,0.9277732336711924,0.8670819210169526,0.13465748034250638,0.10151838373698081,2021-12-25
0.0868826670408638,0.03023758099352052,0.5529736907851709,0.9031056471886688,0.1111881204608433,0.049353950434230034,0.6553858221686336,0.9280489792331894,0.8675668642238106,0.13533092536927893,0.10289873258878154,2021-12-26
0.24044135567684138,0.07019438444924407,0.5562116194656045,0.9036038383714513,0.14138916610831329,0.05634399491633129,0.6591112358706164,0.9298600649081159,0.8715290771648828,0.14132440382007014,0.11042790814405824,2021-12-27
0.3303889926957703,0.0734341252699784,0.5606608374137309,0.9041250229934392,0.18371470043007088,0.061004024571065456,0.6636171467459009,0.9317012590694589,0.8752402509050993,0.14996885162611026,0.11193374325511357,2021-12-28
0.37683621243565407,0.09071274298056156,0.5657355417075767,0.9047688392911889,0.22833599592092432,0.06968862529125186,0.6679046474544942,0.9335421882761216,0.8787910758988269,0.15810420801811337,0.12260007529175557,2021-12-29
0.418216999874447,0.08639308855291578,0.5713675047063148,0.9053819976699982,0.2777794147602582,0.07879686507095954,0.6715686204272313,0.9350611975460187,0.8817240023276357,0.16521071240281096,0.12598820429163007,2021-12-30
0.26339539589811006,0.05291576673866091,0.5749145463717217,0.9057575571770188,0.3058230598448055,0.08282143613641178,0.6718441213092416,0.9351627956225825,0.881963809093069,0.16573730877674295,0.12661563558790315,2021-12-31
0.14087783694359715,0.03995680345572354,0.576811692506974,0.906041142927218,0.3221303946223844,0.08705782673162465,0.671883683270218,0.9351787169901996,0.8819856435721299,0.1658230643153404,0.12699209436566697,2022-01-01
0.16492492669921197,0.041036717062634995,0.5790326712931505,0.9063323931571524,0.3356679550430519,0.0891760220292311,0.6727738831615946,0.9355328409640362,0.8825774095321886,0.1676837370049464,0.138285857698582,2022-01-02
0.5363549752217487,0.14254859611231102,0.5862555517010364,0.9073441044821877,0.38699845881658124,0.10336793052319423,0.677016579584736,0.937324994422704,0.8855253794012952,0.17633939012987795,0.14581503325385872,2022-01-03
0.685076181121262,0.16306695464362853,0.5954812017930939,0.9085014409221902,0.4485240894783164,0.12094895149332768,0.6817544997826752,0.9393709985520468,0.8887534151474893,0.1860079719142167,0.15284226377211696,2022-01-04
0.772283808834499,0.19114470842332615,0.6058812425307641,0.9098580538353056,0.5171202033388463,0.14064816776106756,0.686448061850437,0.9415124104531463,0.8922330058696352,0.19520225774844452,0.17517881791943785,2022-01-05
0.8541591273328852,0.15550755939524838,0.6173838658139339,0.9109617389171623,0.5927406801961133,0.15420461766574878,0.6911520485077861,0.9437745935149596,0.8956597582986207,0.2043422326351267,0.19726439954824948,2022-01-06
0.8339746382966152,0.18682505399568036,0.6286146725630201,0.9122876939113372,0.691715914928725,0.18047023935606862,0.6960629825732351,0.9460069812186153,0.8992456846530432,0.2140017536592135,0.21081691554774754,2022-01-07
0.6745223447389606,0.12526997840172788,0.6376981983128875,0.9131767735606107,0.7842842849254837,0.1972039822071595,0.6983950876725573,0.9469614684115972,0.900702462757313,0.21893766982391272,0.23240055213954075,2022-01-08
0.42735282605002917,0.11879049676025918,0.6434531898709602,0.9140198663314734,0.8298062054731868,0.21245498834992588,0.6998050412989207,0.947481983924766,0.901527674256622,0.2220397738959658,0.23854937884301672,2022-01-09
0.8518622462167931,0.2570194384449244,0.6549248819641922,0.915844012508431,0.884535511915026,0.23490785850455412,0.7042426475176594,0.949439059628629,0.9043108826367523,0.23122196978086337,0.24683147195382107,2022-01-10
1.0,0.28941684665226786,0.6683914866226084,0.9178980930774419,0.9391636101356831,0.25969074348654947,0.7085543693097132,0.9511774032003731,0.9068648289867438,0.24042006220667633,0.26151336428661065,2022-01-11
0.9641066166424177,0.3326133909287257,0.6813747292774951,0.9202587528358575,0.9724380548036111,0.28743910188519384,0.712868090220593,0.9528476052456595,0.9093340162959714,0.24976213493814947,0.27682268791567327,2022-01-12
0.9369871714389111,0.316414686825054,0.6939927650852706,0.9225044453982464,0.9868057788613178,0.31900021181952976,0.7168778249511668,0.9543481881218697,0.9116051173141917,0.25849523343695036,0.3019199397665956,2022-01-13
0.9100375920414177,0.3347732181425486,0.7062478815615895,0.9248804341161322,0.9999999999999999,0.348019487396738,0.7204951918575359,0.9556290753943959,0.9135327407726975,0.2665778336864215,0.2846028359894592,2022-01-14
0.6071594744499671,0.22354211663066956,0.7144242581686189,0.9264669814213011,0.9883149343619846,0.3672950646049566,0.7221116381568156,0.9561056566041857,0.9143176071978363,0.27036555315552635,0.24658049943531185,2022-01-15
0.4217324835119386,0.19870410367170627,0.7201035627956862,0.9278772456925624,0.9873400045351531,0.3829697098072442,0.723260994203319,0.9564024540198852,0.9147952722450073,0.27317361143111946,0.2554900238423893,2022-01-16
0.8850156202686834,0.5226781857451405,0.7320217182703677,0.9315868538843582,0.9930909375084073,0.43507731412836265,0.7268819046121567,0.9577084156398991,0.9168035285435095,0.28115868787645887,0.2633956581754298,2022-01-17
0.8692254857792778,0.43304535637149033,0.743727234246377,0.9346603102581397,0.9704062036796234,0.46324931158652827,0.7303922028325524,0.9588812736631628,0.918713214490346,0.28902621570137,0.2923829840632451,2022-01-18
0.9202738532211726,0.4373650107991361,0.7561201984051839,0.9377644245508615,0.9628027759237171,0.48379580597331073,0.7337230179339578,0.9600006590145507,0.9205424681763901,0.29643925793660275,0.28987325887815285,2022-01-19
0.8883833945096417,0.4028077753779698,0.768083706364147,0.9406232754920596,0.9543717467642193,0.5007413683541623,0.7370216926957801,0.9611124088537835,0.9223482254413975,0.30377713339152057,0.30995106035889075,2022-01-20
0.8380735740504132,0.4103671706263499,0.7793697118605498,0.9435357777914035,0.9418885454072605,0.5155687354374073,0.7402213467263885,0.9621472254885246,0.9240334059506463,0.3109901151126699,0.3150959969883298,2022-01-21
0.5966499508866256,0.2473002159827214,0.7874045608686034,0.945290943650745,0.9400655163092564,0.5202287650921416,0.7417126035716223,0.96257780093107,0.9247165214110277,0.3144866303255121,0.32099385117329654,2022-01-22
0.3773901226726538,0.20734341252699784,0.7924867244526274,0.9467625237598871,0.9323736914994062,0.5219233213302267,0.7427322571318801,0.9628218001049895,0.9251312332423238,0.3169831378447502,0.321495796210315,2022-01-23
0.6931337287021514,0.4535637149028078,0.8018208823524732,0.9499816052486357,0.8990889978976874,0.5083668714255455,0.7458890630963171,0.9638997320922792,0.9269382512908991,0.32389939307114013,0.32526038398795337,2022-01-24
0.6679049637742704,0.4319654427645789,0.810815294449015,0.9530473971426819,0.8641670371229192,0.5081550518957848,0.7488793072849066,0.9649063671837346,0.9286690492419654,0.33043793790714615,0.3312837244321747,2022-01-25
0.5661922733214674,0.38552915766738666,0.8184399819544852,0.9557836164081182,0.8027464580325377,0.4979877144672739,0.7518425676592972,0.9658751378426725,0.9304060078400107,0.33692554947546377,0.34571464424645504,2022-01-26
0.48479701036181416,0.3099352051835853,0.8249685516326098,0.9579833220920964,0.7327385535423517,0.4797712349078585,0.7548741670098702,0.9669254663696155,0.9323008222715813,0.3433849869046548,0.3558790312460786,2022-01-27
0.43164378401932035,0.28293736501079914,0.8307813278252608,0.9599914157826966,0.6622374191134928,0.45477653039610255,0.7578707174316667,0.9678891065424681,0.9341309642369572,0.349882999582374,0.36955703350483127,2022-01-28
0.20449627403047244,0.14470842332613393,0.8335351983017484,0.9610184560672022,0.5942126833117892,0.43465367506884134,0.7592261714752667,0.9682807577337742,0.9348171170395702,0.35293669024314017,0.3669218220604844,2022-01-29
0.14460011373623533,0.13822894168466524,0.8354824708669962,0.9619995094732969,0.5538318841767992,0.42109722516416015,0.7600545788611236,0.9684857122225088,0.9351773286357301,0.3548997924147658,0.36541598694942906,2022-01-30
0.3880178137532219,0.3434125269978402,0.8407077533652338,0.9644368140290637,0.5009051089653829,0.39949163312857444,0.7631424195160124,0.969429962530109,0.9368621652949151,0.3617452235920859,0.36503952817166524,2022-01-31
0.2975014955576399,0.19438444924406048,0.8447140883911962,0.9658164203813845,0.4366532619153463,0.3528913365812328,0.7660906650494339,0.9703611337112101,0.9384487467983261,0.3682517608903972,0.3593926465052077,2022-02-01
0.28860200441651096,0.2354211663066955,0.8486005774882999,0.9674872769636397,0.3885012087336289,0.3234484219445033,0.7688217101833509,0.971180180888896,0.9399219150889775,0.3743399216051228,0.3465930480612373,2022-02-02
0.2660172376865754,0.20950323974082075,0.8521829264605489,0.968974186032252,0.3505506880237365,0.3037492056767634,0.77123240725026,0.9719177906325225,0.9413343078808257,0.37956084961301306,0.34508721295018197,2022-02-03
0.24452552049098603,0.1673866090712743,0.8554758549738944,0.9701621803911951,0.31809231470888544,0.2810845159923745,0.7740120232497348,0.9727407880436262,0.9428752719424193,0.3857171000645432,0.3378090099134145,2022-02-04
0.11491052503304998,0.0982721382289417,0.8570233095856056,0.9708596480470906,0.30255236884887815,0.2719762762126668,0.7751771320093922,0.9730162927377319,0.9434144861510375,0.38846843476412124,0.3300288618396286,2022-02-05
0.07566413837416266,0.06047516198704104,0.8580422486239101,0.971288858912257,0.2905944253486879,0.2567252700699004,0.7759617990185288,0.97319224673235,0.9437599695027916,0.39033773930225124,0.3258878152842264,2022-02-06
0.2080634559567507,0.18898488120950324,0.8608441569291435,0.9726301428659022,0.2593787352559479,0.22643507731412837,0.7784377033947895,0.9739951798481058,0.9453469808187827,0.39554563911640644,0.31835863972894973,2022-02-07
0.19792320588474235,0.13390928725701945,0.8635095104955196,0.9735805383530566,0.2421054384686043,0.2145731836475323,0.7807900570796472,0.9747953911566896,0.9469509554045952,0.4003532838674799,0.3128372443217468,2022-02-08
0.17321880931455455,0.1123110151187905,0.8658421797199604,0.9743776442455085,0.22209055189227345,0.1904257572548189,0.7833907562341341,0.9755853174063134,0.9484898850199771,0.4060569788321072,0.304680637470197,2022-02-09
0.15247302457145812,0.0961123110151188,0.8678954736629372,0.9750597829419339,0.20239466338017523,0.16818470662995127,0.7857077177938504,0.9763061627447032,0.9500285854019831,0.4109645064018158,0.2912536077299536,2022-02-10
0.09333756766936728,0.06587473002159827,0.8691524137865186,0.9755273162057759,0.17616892292673678,0.14827367083245074,0.7877954241817412,0.9769120900121383,0.9514061633748563,0.4154517272851633,0.2643995482494667,2022-02-11
0.05833044069098456,0.03779697624190065,0.8699379267708554,0.975795572996505,0.16635428770550711,0.1364117771658547,0.7888592728539029,0.9771643027811522,0.9520006801354265,0.41788963473957674,0.26176433680511985,2022-02-12
0.03736309185308823,0.04319654427645789,0.870441080757657,0.9761021521859096,0.1597104163757464,0.13302266468968438,0.7895231519023748,0.9773032594676617,0.9523346731642103,0.41946406246477397,0.2542351612498432,2022-02-13
0.11268749861522441,0.10691144708423327,0.8719585987514541,0.976860935679686,0.1431660750042597,0.11692438042787545,0.7915152866825199,0.9779333457845976,0.9537474384602944,0.42358295540178537,0.2510980047684779,2022-02-14
0.11768746168787528,0.08207343412526999,0.8735434492712572,0.9774434361395549,0.12924802291661594,0.10675704299936455,0.7934017341420607,0.9785692129309254,0.9551109472347177,0.42741879340536426,0.2364161124356883,2022-02-15
0.1173403446060221,0.07883369330453564,0.8751236253025488,0.9780029431602183,0.11955509378414976,0.10019063757678458,0.7952740075917267,0.9791909411320319,0.9564417329447216,0.4312622177851304,0.23365541473208687,2022-02-16
0.10303468955177583,0.08099352051835854,0.8765111527328452,0.9785777791403519,0.1109792984348597,0.09722516416013556,0.7971085895006056,0.9798192691133609,0.9578398559589159,0.4349181005118713,0.22449491780650022,2022-02-17
0.09494021462175316,0.07451403887688986,0.8777896750693416,0.979106628242075,0.1112573007639299,0.09891972039822072,0.7989794987447207,0.9804217760567392,0.9591937655857204,0.43874723676970173,0.20642489647383613,2022-02-18
0.03980768236571369,0.047516198704103674,0.8783257493901284,0.9794438653504199,0.10804426002057473,0.10082609616606651,0.7997450668761446,0.9806033181864363,0.9596692815699919,0.44046795020109664,0.2039151712887439,2022-02-19
0.02923907504375891,0.019438444924406047,0.8787195004543205,0.979581825985652,0.10663503162436631,0.09616606651133235,0.8002121228092843,0.9806823951151606,0.9599080281310615,0.4416050219987485,0.19726439954824948,2022-02-20
0.0956122923759795,0.06263498920086394,0.8800070733962327,0.9800263658102888,0.10367308975888101,0.08748146579114595,0.8019828101349079,0.9812720156263526,0.9612583559863666,0.4451564647197452,0.19349981177061112,2022-02-21
0.11669042326127577,0.05075593952483801,0.8815784971937155,0.9803865963578392,0.10350013900116453,0.08133869942808727,0.8037525965700733,0.9818834346817101,0.9626659348773194,0.4486244036887159,0.18496674614129754,2022-02-22
0.07822689640401474,0.035637149028077755,0.8826319478812433,0.980639524189098,0.09671534483178296,0.07286591823766152,0.8055441759744166,0.9824759456075982,0.9640559774150108,0.4521976136799037,0.18220604843769608,2022-02-23
0.06829343948715297,0.028077753779697626,0.8835516286315802,0.980838800662211,0.09068897176290629,0.06248676127938996,0.8070382985092983,0.982942771667789,0.9652009121654497,0.4552272048629583,0.1736729828083825,2022-02-24
0.06265094053958242,0.02591792656587473,0.8843953240793048,0.9810227481758538,0.08508792944633978,0.052954882440160986,0.8088329581010176,0.9834827733933666,0.9665604093557935,0.4588874571279272,0.15648136529050072,2022-02-25
0.02760688621206638,0.014038876889848813,0.8847670951017725,0.9811223864124103,0.08297152461857951,0.046388477017581024,0.8094610675083467,0.9836289079430378,0.9670121996856522,0.4602415850668806,0.14681892332789562,2022-02-26
0.02514752475978759,0.023758099352051837,0.8851057468758503,0.9812910049665828,0.08226178595358001,0.0472357551366236,0.8097654483644724,0.9836899438667014,0.9672075924844921,0.46092301857458534,0.14506211569833105,2022-02-27
0.026432596509626958,0.00755939524838013,0.885461704203141,0.9813446563247287,0.07026156560150351,0.03643295911883076,0.810155542512759,0.9837843399933145,0.9674867127739037,0.46175631364095043,0.1425523905132388,2022-02-28
0.022289347936869004,0.005399568034557236,0.8857618660399006,0.9813829787234042,0.053886331637561825,0.02753653886888371,0.8105355724276418,0.9838811207120517,0.9677462336096704,0.46257159441474366,0.1425523905132388,2022-03-01
0.06426835843162162,0.03131749460043197,0.8866273426149447,0.9816052486357226,0.051465021029531016,0.026689260749841136,0.8116992483424753,0.9842061719314045,0.9685402407156758,0.4650517764813385,0.1381603714393274,2022-03-02
0.06187546620778281,0.024838012958963283,0.88746059505642,0.9817815316696302,0.050351730596526374,0.026053802160559202,0.8128061938981729,0.9844988986797405,0.9692988312650943,0.4674282691377129,0.13502321495796213,2022-03-03
0.05624773819986558,0.023758099352051837,0.8882180611096877,0.9819501502238028,0.04924100239696939,0.025630163101037915,0.8138925648317882,0.984795720182229,0.9700685682874192,0.4697280134017759,0.12987827832852303,2022-03-04
0.023448866699655097,0.020518358531317497,0.8885338377272199,0.98209577533877,0.04851973368145545,0.02690108027960178,0.8143990540272674,0.9848918987312381,0.970367803805572,0.4709052152529696,0.12661563558790315,2022-03-05
0.015841832778192184,0.008639308855291577,0.8887471734263086,0.9821570911766508,0.04690552660943491,0.023935606862952763,0.8148726306913422,0.984937470936278,0.9705242269304974,0.472167314819305,0.12636466306939392,2022-03-06
0.0501916529420019,0.020518358531317497,0.889423084573631,0.9823027162916181,0.05102687910998258,0.026477441220080493,0.8161914571028868,0.9851896114449246,0.9711817255611146,0.4753345866670162,0.12121972643995484,2022-03-07
0.04047976011994003,0.01511879049676026,0.8899682094998337,0.9824100190079097,0.05418226960076559,0.02838381698792629,0.8170933857300376,0.9853628436323707,0.9716546913240783,0.4774693339507518,0.12059229514368178,2022-03-08
0.04396570187812498,0.010799136069114472,0.8905602782255562,0.9824866638052608,0.0506604797269684,0.024359245922474054,0.8181297357934529,0.9855476374786007,0.9721750797416953,0.4799821669226332,0.11494541347722426,2022-03-09
0.04235566945591244,0.016198704103671708,0.8911306652811615,0.9826016310012876,0.04727448822589675,0.0226646896843889,0.8191397026363084,0.9858135315438423,0.972724466181372,0.4822818843797131,0.10804366921822062,2022-03-10
0.03471170818531621,0.0064794816414686825,0.8915981141323115,0.9826476178796983,0.04353875185922064,0.019275577208218597,0.8202446490731798,0.9860420910859273,0.9733470067221541,0.4848535318722831,0.09524407077425023,2022-03-11
0.014800481532632697,0.0064794816414686825,0.8917974263658657,0.982693604758109,0.0420385641756206,0.016521923321330227,0.8207409968160729,0.9861219147051148,0.9735928022095346,0.486060677123481,0.09260885932990338,2022-03-12
0.009386932149688703,0.0010799136069114472,0.8919238364700809,0.9827012692378441,0.040918868158996834,0.015039186613005719,0.8209853612078679,0.9861540705686077,0.9736972753206316,0.4866746106480071,0.09248337307064877,2022-03-13
0.037518186719448156,0.01511879049676026,0.8924290790581323,0.9828085719541357,0.038720471860911716,0.013980088964202499,0.8219088082471048,0.9863692137691455,0.9742563755246149,0.4887493102898363,0.09637344710754173,2022-03-14
0.03293180995709042,0.00755939524838013,0.8928725587235106,0.9828622233122816,0.037411170569161725,0.012497352255877992,0.8230085552590463,0.9865767214575282,0.9748198025085696,0.49137017540318306,0.09549504329275946,2022-03-15
