new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,n_patiens_ICU_that_day,date
0.039903003529327026,0.007338167205381323,0.10709916750647107,0.24456951486115633,0.044207793456573476,0.021321070234113712,0.0,0.0,0.0,0.0,0.13403880070546736,2020-12-11
0.0368298480228566,0.0006988730671791736,0.10738920726876704,0.24469355163806067,0.04342652467607394,0.018729096989966554,0.0,0.0,0.0,0.0,0.13462669018224574,2020-12-12
0.043384312501500565,0.005590984537433389,0.10773086427689534,0.24568584585329548,0.044524307475339954,0.021237458193979934,0.0,0.0,0.0,0.0,0.13756613756613756,2020-12-13
0.05133130056901395,0.003494365335895868,0.10813510483216833,0.24630602973781726,0.0462230662596056,0.021571906354515048,0.0,0.0,0.0,0.0,0.1405055849500294,2020-12-14
0.045881251350507794,0.003931161002882852,0.10849642555299466,0.24700373660790423,0.0468280487511719,0.022408026755852843,0.0,0.0,0.0,0.0,0.1422692533803645,2020-12-15
0.035989532064056085,0.0015724644011531406,0.1087798477196711,0.24728281935593902,0.047256744953804976,0.02249163879598662,0.0,0.0,0.0,0.0,0.13639035861258084,2020-12-16
0.03366065640680896,0.000873591333973967,0.1090449296927734,0.24743786532706946,0.04788977299133793,0.02249163879598662,0.0,0.0,0.0,0.0,0.1646090534979424,2020-12-17
0.048042063815994816,0.004193238403075041,0.10942326708804995,0.2481820859884956,0.049247978717437114,0.019481605351170567,0.0,0.0,0.0,0.0,0.1675485008818342,2020-12-18
0.05769369282850352,0.003843801869485455,0.10987761229587081,0.2488642882614695,0.05272963292386836,0.02249163879598662,0.0,0.0,0.0,0.0,0.17225161669606115,2020-12-19
0.053276031787952274,0.004367956669869835,0.11029716785814901,0.2496395181171217,0.054380313629334036,0.021321070234113712,0.0,0.0,0.0,0.0,0.1746031746031746,2020-12-20
0.052603779020911866,0.0046300340700620255,0.11071142934393158,0.25046126176411304,0.054592658477367245,0.022408026755852843,0.0,0.0,0.0,0.0,0.18518518518518517,2020-12-21
0.0466495402271254,0.003756442736088058,0.11107880043789577,0.25112795943997396,0.0547208666875005,0.022240802675585283,0.0,0.0,0.0,0.0,0.18988830099941212,2020-12-22
0.04083935559770474,0.001747182667947934,0.11140041558500491,0.2514380513822348,0.05553018101396668,0.022408026755852843,0.0,0.0,0.0,0.0,0.1951793062904174,2020-12-23
0.04141557225516795,0.0009609504673713637,0.11172656851196745,0.2516086019504783,0.05682428263499924,0.02249163879598662,6.6997563378378936e-06,2.3219150580448358e-05,0.0,0.0,0.18930041152263374,2020-12-24
0.05752562963674342,0.006551935004804752,0.11217959020066441,0.25277144673395663,0.05840685272883162,0.024749163879598662,8.293341238195049e-05,0.0002874199139708358,0.0,0.0,0.19400352733686066,2020-12-25
0.06052675806103095,0.004804752336856818,0.11265624615943112,0.253624199575174,0.05887962050369801,0.025668896321070233,0.00013302206690769092,0.0004610107064056163,0.0,0.0,0.19400352733686066,2020-12-26
0.06153513721159156,0.004018520136280249,0.11314084323294127,0.25433741104237406,0.06025785876263051,0.025334448160535115,0.0001379511733562431,0.0004780933671898034,0.0,0.0,0.19047619047619047,2020-12-27
0.04107944587164774,0.0034070062024984713,0.113464349121656,0.25494209032978277,0.05833473561063166,0.024163879598662206,0.0001379511733562431,0.0004780933671898034,0.0,0.0,0.18930041152263374,2020-12-28
0.046169359679239394,0.0,0.11382793873240903,0.25494209032978277,0.05825460547929838,0.0205685618729097,0.0001379511733562431,0.0004780933671898034,0.0,0.0,0.18871252204585537,2020-12-29
0.047009675638039906,0.003931161002882852,0.11419814593878158,0.25563979719986973,0.0592842776669311,0.02265886287625418,0.0001379511733562431,0.0004780933671898034,0.0,0.0,0.20340975896531452,2020-12-30
0.04715372980240571,0.0009609504673713637,0.11456948759011748,0.25581034776811323,0.060241832736363854,0.02265886287625418,0.0001379511733562431,0.0004780933671898034,0.0,0.0,0.21516754850088182,2020-12-31
0.07257928981296968,0.00952214554031624,0.1151410587774843,0.25750034885343503,0.06275391235366234,0.025501672240802676,0.0001379511733562431,0.0004780933671898034,0.0,0.0,0.21457965902410348,2021-01-01
0.08621641737293223,0.004542674936664629,0.11582002408804806,0.25830658790331334,0.0670408743799931,0.025250836120401337,0.0001379511733562431,0.0004780933671898034,0.0,0.0,0.2069370958259847,2021-01-02
0.08014213344217426,0.005590984537433389,0.11645115363599065,0.2592988821185481,0.07014591696915791,0.026755852842809364,0.0001379511733562431,0.0004780933671898034,0.0,0.0,0.2039976484420929,2021-01-03
0.05495666370555329,0.003756442736088058,0.1168839443895079,0.25996557979440904,0.07246167776468986,0.02709030100334448,0.00014441165268201536,0.0005004832623923786,0.0,0.0,0.20517342739564962,2021-01-04
0.05882211711603563,0.0,0.117347176082875,0.25996557979440904,0.07457310672532193,0.02709030100334448,0.00016744605304353421,0.0005803129134356344,0.0,0.0,0.20634920634920634,2021-01-05
0.05906220738997863,0.0018345418013453307,0.11781229851784766,0.26029117633378296,0.07658437302178737,0.025083612040133776,0.00017073212400923565,0.0005917013539584256,0.0,0.0,0.2022339800117578,2021-01-06
0.057189503253223216,0.0024460557351271076,0.1182626731682968,0.26072530505294816,0.07825909276665305,0.026505016722408025,0.00017073212400923565,0.0005917013539584256,0.0,0.0,0.24103468547912993,2021-01-07
0.08866533816715086,0.00847383593954748,0.11896092404323749,0.26222925097291344,0.0809434521663181,0.025501672240802676,0.00017074807581004002,0.0005917566376502838,0.0,0.0,0.2486772486772487,2021-01-08
0.10095796019303259,0.005328907137241198,0.11975598088838386,0.26317503139680914,0.08340344719824995,0.026254180602006686,0.00017074807581004002,0.0005917566376502838,0.0,0.0,0.2898295120517343,2021-01-09
0.10470336846654342,0.005503625404035992,0.12058053330257727,0.2641518210149309,0.0875021034159475,0.026170568561872908,0.0001707640276108444,0.0005918119213421421,0.0,0.0,0.3186360964138742,2021-01-10
0.10038174353556938,0.005154188870446406,0.12137105236787026,0.2650665922446005,0.09508241384007628,0.027508361204013378,0.0001707799794116488,0.0005918672050340003,0.0,0.0,0.3168724279835391,2021-01-11
0.09529182972797773,0.0057657028042281825,0.12212148771112494,0.26608989565406144,0.1011682973148393,0.03302675585284281,0.0001707799794116488,0.0005918672050340003,0.0,0.0,0.3274544385655497,2021-01-12
0.07786127583971574,0.001747182667947934,0.12273465521381452,0.2663999875963223,0.10430539195653742,0.032943143812709026,0.0001872581896425691,0.0005919224887258585,5.8304699341817905e-05,0.0,0.3439153439153439,2021-01-13
0.08139060286667787,0.0019219009347427275,0.12337561661810613,0.2667410887328093,0.108343950575735,0.032441471571906355,0.0002975967958064375,0.0007091239154652646,0.00032931985703823314,0.0,0.3133450911228689,2021-01-14
0.10052579769993518,0.007862322005765704,0.12416727012836246,0.2681365024729832,0.11032316481966714,0.031856187290969895,0.00035232742436625133,0.0007619751248817136,0.00046914944121555804,0.0,0.3333333333333333,2021-01-15
0.10727233439773355,0.006551935004804752,0.12501205347773559,0.26929934725646154,0.11137687604669984,0.03302675585284281,0.00035376308643864514,0.0007632466497944525,0.0004729347269286412,0.0,0.3168724279835391,2021-01-16
0.10355093515161701,0.0057657028042281825,0.12582753033222221,0.2703226506659224,0.11118456373149996,0.03327759197324415,0.00035376308643864514,0.0007632466497944525,0.0004729347269286412,0.0,0.31981187536743094,2021-01-17
0.10417516986386882,0.0036690836026906613,0.12664792311488335,0.27097384374467026,0.11181759176903291,0.031856187290969895,0.0005300304853269992,0.001374131444827677,0.0004729347269286412,0.0,0.3356848912404468,2021-01-18
0.09406736933086841,0.006115139337817769,0.1273887156759496,0.27205916554258336,0.11161325993413303,0.032190635451505016,0.000838969011505348,0.0024447554213537794,0.000472991223730329,0.0,0.3321575543797766,2021-01-19
0.08165470216801518,0.0022713374683323143,0.12803175689600732,0.2724622850675225,0.11224628797166598,0.032692307692307694,0.000987480276994088,0.002959446592553718,0.000472991223730329,0.0,0.3662551440329218,2021-01-20
0.08616839931814363,0.0018345418013453307,0.12871034405824996,0.27278788160689643,0.11304358277843217,0.03260869565217391,0.0010362289802522608,0.003128393554872409,0.000472991223730329,0.0,0.3880070546737213,2021-01-21
0.10484742263090922,0.009434786406918843,0.12953603091740673,0.2744623780951052,0.11376475396043174,0.03411371237458194,0.0010428489775860768,0.0031511151522261335,0.00047321721093708025,0.0,0.38741916519694297,2021-01-22
0.11906076684833498,0.007338167205381323,0.13047364967961383,0.2757647642526009,0.1157319486846639,0.03486622073578595,0.0010428489775860768,0.0031511151522261335,0.00047321721093708025,0.0,0.4062316284538507,2021-01-23
0.10998535449328949,0.005940421071022975,0.13133979840913002,0.27681907685628787,0.11680569244452992,0.03503344481605351,0.0010428489775860768,0.0031511151522261335,0.00047321721093708025,0.0,0.4079952968841858,2021-01-24
0.10715228926076205,0.006901371538394339,0.13218363638770037,0.27804394002821836,0.11730249925879628,0.03812709030100334,0.0010655005347282908,0.003152054974987723,0.0005524822237050749,0.0,0.4056437389770723,2021-01-25
0.09766872344001346,0.0057657028042281825,0.13295279007285027,0.27906724343767925,0.11790347524379592,0.03779264214046823,0.0010752949404221775,0.003153105365133029,0.0005860978207093208,0.0,0.42034097589653147,2021-01-26
0.07975798900386545,0.0020966192015375207,0.13358089443422394,0.2794393537683923,0.11758696122502944,0.037625418060200665,0.0010758532534503307,0.003153160648824887,0.0005880187119667062,0.0,0.4150499706055262,2021-01-27
0.08134258481188927,0.0014851052677557438,0.13422147769019444,0.27970293191931406,0.11678165340512993,0.03729096989966555,0.0010758532534503307,0.003153160648824887,0.0005880187119667062,0.0,0.4027042915931805,2021-01-28
0.1021584115627476,0.011706123875251159,0.1350259882433687,0.28178054793246193,0.11633292466966354,0.03946488294314381,0.0010759330124543525,0.003153160648824887,0.0005883011959751452,0.0,0.4262198706643151,2021-01-29
0.11058558017814699,0.007250808071983926,0.13589686382689883,0.28306742949284464,0.11491862785163105,0.03938127090301003,0.001075948964255157,0.0031532159325167453,0.0005883011959751452,0.0,0.4297472075249853,2021-01-30
0.09966147271374037,0.007163448938586529,0.13668171066737508,0.2843388064561142,0.11319583002796542,0.040551839464882944,0.0010759649160559613,0.0031532159325167453,0.000588357692776833,0.0,0.4444444444444444,2021-01-31
0.10105399630260979,0.009871582073905828,0.13747752380916367,0.2860908259298882,0.11217817736003269,0.043394648829431434,0.0010759808678567657,0.0031532712162086036,0.000588357692776833,0.0,0.4497354497354497,2021-02-01
0.09073011452306068,0.0074255263387787195,0.13819203506191235,0.2874087166844969,0.11102029696226672,0.04498327759197324,0.0012865286866737236,0.0038826289628939733,0.0005886966735869599,0.0,0.44914756025867136,2021-02-02
